Age,Gender,Education,Income,Occupation,Ethnicity,Marital Status,Household Size,Num Children,State,Home Ownership
35,Male,Bachelor's Degree,75000,Marketing Manager,White,Married,4,2,California,own
35,Male,Bachelor's Degree,75000,Marketing Manager,White,Married,4,2,California,own
35, Male, Bachelor's Degree,60000, Teacher, Caucasian, Married,4,2, California, own
25, Female, Bachelor's degree,45000, Marketing Specialist, Hispanic, Single,2,1, California, Rent
25, Male, Bachelor's Degree,50000, Teacher, Hispanic, Married,3,2, California, Rent
35, Gender: Female, Education level: Bachelor's Degree,75000, Occupation: Marketing Manager, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: CA, Home ownership: own
34, Female, Bachelor's Degree,75000, Marketing Manager, Hispanic, Married,4,2, California, own
35, Female, Bachelor's Degree,60000, Teacher, Hispanic, Married,4,2, California, Rent
35, Female, Bachelor's Degree,75000, Marketing Manager, Caucasian, Married,4,2, California, Own
35, Male, Bachelor's Degree,75000, Teacher, Caucasian, Married,4,2, California, Own
34, Male, Bachelor's Degree,60000, Marketing Manager, Caucasian, Married,4,2, California, Own
35, Male, Bachelor's Degree,75000, Teacher, Caucasian, Married,4,2, California, Own
25, Male, Bachelor's Degree,50000, Marketing Specialist, Caucasian, Single,2,0, California, Rent
24, Male, Bachelor's Degree,60000, Marketing Specialist, Caucasian, Single,2,1, California, Rent
29, Male, Bachelor’s Degree,60000, Marketing Specialist, Caucasian, Married,4,2, California, own
25, Female, Bachelor's Degree,60000, Marketing Specialist, Hispanic, Single,3,2, California, rent
34, Male, Bachelor's Degree,60000, Teacher, Caucasian, Married,4,2, California, Own
29, Female, Bachelor's Degree,65000, Marketing Specialist, Hispanic, Married,4,2, California, Rent
34, Male, Bachelor's Degree,70000, Marketing Specialist, Caucasian, Married,4,2, California, rent
30, Gender: Female, Education level: Bachelor's Degree,60000, Occupation: Teacher, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: California, Home ownership: own
35, Gender: Female, Education level: Bachelor's Degree,75000, Occupation: Marketing Specialist, Ethnicity: Hispanic, Marital status: Married,4,2, State of residence: CA, Home ownership: own
25, Male, Bachelor’s Degree,60000, Marketing Specialist, Caucasian, Single,2,0, California, Rent
30, Gender:Female, Education level:Bachelor's,75000, Occupation:Marketing Manager, Ethnicity:Caucasian, Marital status:Married,4,2, State of residence:California, Home ownership:own
